problem_id,eligible_operator,failure_stage,exact_exclusion_reason
math500_002,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_004,NONE,PERTURBATION_ELIGIBILITY,Solution consists entirely of conceptual prose without numeric equations or equality assertions.
math500_008,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_010,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_016,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_020,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_029,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_030,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_032,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_035,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_038,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_051,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_052,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_055,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_058,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_065,NONE,PERTURBATION_ELIGIBILITY,Solution consists entirely of conceptual prose without numeric equations or equality assertions.
math500_066,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_070,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_073,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_074,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_079,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_085,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_086,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_090,NONE,PERTURBATION_ELIGIBILITY,Solution consists entirely of conceptual prose without numeric equations or equality assertions.
math500_097,NONE,PERTURBATION_ELIGIBILITY,Solution consists entirely of conceptual prose without numeric equations or equality assertions.
math500_098,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_107,NONE,PERTURBATION_ELIGIBILITY,Solution consists entirely of conceptual prose without numeric equations or equality assertions.
math500_116,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_117,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_121,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_138,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_141,NONE,PERTURBATION_ELIGIBILITY,Solution consists entirely of conceptual prose without numeric equations or equality assertions.
math500_142,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_144,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_146,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_147,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_150,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_161,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_169,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_178,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_180,NONE,PERTURBATION_ELIGIBILITY,Solution consists entirely of conceptual prose without numeric equations or equality assertions.
math500_197,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_198,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_217,NONE,PERTURBATION_ELIGIBILITY,Solution consists entirely of conceptual prose without numeric equations or equality assertions.
math500_218,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_224,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_225,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_229,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_236,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_237,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_242,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_246,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_253,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_254,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_261,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_262,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_265,OP_CONSTANT_PERTURB,PAIR_CONSTRUCTION,Target step contains variable assignment without modifiable numerical constant or sign parameter.
