pair_id,problem_id,operator,control_assertion_sha256,recovery_assertion_sha256,assertions_differ,operator_effect_verified,control_valid,recovery_invalid,context_invariant,target_is_math_reasoning,final_status,failure_reason
pair_math500_001,math500_001,OP_CONSTANT_PERTURB,ae12f596c8b3bd4feee52da55be5ab50d835c790724298c9e185f54e695432b9,51f64c53608469aa45d75c81e277f80e21bde695e2f0a2c4304d5062612602c8,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_002,math500_002,OP_CONSTANT_PERTURB,37e088f69dbd14bd17ab16585540d7c4a62f86bd5b76ca1ac8c8af0441782102,f02237cc8924137e43c2e8004846cebb3281a596d15b117f23cabeffd900c52f,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_003,math500_003,OP_CONSTANT_PERTURB,35c9e6915ad24635e5e7275b53dc71f0a1f6029415317f3dea8f1bf0ff5cdcf9,34d6591d3b03d986658943a8e3d2bb19a6e1b02008e3075489cebf07f5338603,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_005,math500_005,OP_CONSTANT_PERTURB,6b2a0f88e2147baadc909c5648ee5f3bd4ad563d7af0a61f0405a98ae13a54c1,d6a5d215506843214394a9905d94fbb136327cd5ba09cb83a92bb187d7f1ce4d,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_006,math500_006,OP_CONSTANT_PERTURB,249a355f8647569a7d4695a5050e83575a77f3129f2a7f70647f112af9a6f71f,31ca6c5463ecaf6a5c8abf5645ee082c144fa1aae306f3d83c6fad858f24b248,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_007,math500_007,OP_SIGN_FLIP,dc7dddfba68ae8af3953e40cd216dd2b7e22a8cba936673a3cbd9ebe531db474,7db01f60baccbfa3ef8b115520ec83bd0bbecf738d5a2afd6de91a84aa4f0b03,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_008,math500_008,OP_CONSTANT_PERTURB,fa5d778e065758747e3bc453e81faead53cc0c64f433ff27792ee7c84396e96c,80c837f15c6f55cab8e649dc369e60311bb406d9e82f89978b836c3dd46f2600,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_009,math500_009,OP_CONSTANT_PERTURB,924e5f6001842f99567a47c9110471b4b1fef6f3582280b678bd6d0a6ab5fc02,c7349244881fcf4a6500ec8f4ca2cd4d0fb19b7cc72d265dcb98a4bacd9a351b,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_010,math500_010,OP_CONSTANT_PERTURB,61e6e25eef706b54dd7316d8db218f4cf43fae2339795db182d78a896e5df823,7867e059711b16ee58647d209178282a599c67620d2b3f7e2d2a05af798d8653,YES,YES,YES,YES,YES,YES,PASSED,NONE
pair_math500_011,math500_011,OP_CONSTANT_PERTURB,2a561aa32fe5bbfe453eb7d2a9b541eae8953b99cfc88aa4c1b95e8178896f2a,98c452bd6f748646db87ae64f985022831a7e90e1e62c3e996b77bc91aa8cac3,YES,YES,YES,YES,YES,YES,PASSED,NONE
