problem_id,terminal_stage,exact_exclusion_reason
math500_001,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_002,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_003,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_004,NO_VERIFIABLE_TRANSITION,Solution contains conceptual prose comparing distances without verifiable math equations.
math500_005,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_006,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_007,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_008,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_009,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_010,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_011,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_012,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_013,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_014,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_015,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_016,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_018,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_019,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_020,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_021,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_022,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_023,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_024,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_025,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_026,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_027,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_028,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_029,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_030,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_032,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_033,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_034,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_035,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_036,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_037,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_038,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_039,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_040,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_041,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_042,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_043,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_044,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_045,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_046,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_047,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_048,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_049,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_050,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_051,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_052,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_055,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_056,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_057,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_058,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_059,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_060,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_061,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
math500_062,FINAL_REGISTERED,Successfully constructed Control and Recovery state pair passing all semantic quality invariants.
