pair_id,problem_id,operator,control_sha256,recovery_sha256,operator_replay_sha256,replay_matches_recovery,edit_span_count,edit_start,edit_end,outside_span_identical,locality_status
pair_math500_001,math500_001,OP_FRACTION_FLIP,ae12f596c8b3bd4feee52da55be5ab50d835c790724298c9e185f54e695432b9,02452e769481d5a0b9a2175c9fd0f208af08b0da0f610d4c51438600673753fa,02452e769481d5a0b9a2175c9fd0f208af08b0da0f610d4c51438600673753fa,YES,1,36,42,YES,PASSED
pair_math500_002,math500_002,OP_FRACTION_FLIP,37e088f69dbd14bd17ab16585540d7c4a62f86bd5b76ca1ac8c8af0441782102,cb8b470e08430b96fb79134c98000887809a96d8da83677ecb6a68309d6b3fe4,cb8b470e08430b96fb79134c98000887809a96d8da83677ecb6a68309d6b3fe4,YES,1,24,35,YES,PASSED
pair_math500_003,math500_003,OP_CONSTANT_PERTURB,35c9e6915ad24635e5e7275b53dc71f0a1f6029415317f3dea8f1bf0ff5cdcf9,34d6591d3b03d986658943a8e3d2bb19a6e1b02008e3075489cebf07f5338603,34d6591d3b03d986658943a8e3d2bb19a6e1b02008e3075489cebf07f5338603,YES,1,25,26,YES,PASSED
pair_math500_005,math500_005,OP_CONSTANT_PERTURB,6b2a0f88e2147baadc909c5648ee5f3bd4ad563d7af0a61f0405a98ae13a54c1,d6a5d215506843214394a9905d94fbb136327cd5ba09cb83a92bb187d7f1ce4d,d6a5d215506843214394a9905d94fbb136327cd5ba09cb83a92bb187d7f1ce4d,YES,1,44,45,YES,PASSED
pair_math500_006,math500_006,OP_SIGN_FLIP,249a355f8647569a7d4695a5050e83575a77f3129f2a7f70647f112af9a6f71f,7020fcfc35c4c197869a1813db96e9d6ecc714bb9ddcadfa4c38a6d9dc034163,7020fcfc35c4c197869a1813db96e9d6ecc714bb9ddcadfa4c38a6d9dc034163,YES,1,59,60,YES,PASSED
pair_math500_007,math500_007,OP_SIGN_FLIP,dc7dddfba68ae8af3953e40cd216dd2b7e22a8cba936673a3cbd9ebe531db474,7db01f60baccbfa3ef8b115520ec83bd0bbecf738d5a2afd6de91a84aa4f0b03,7db01f60baccbfa3ef8b115520ec83bd0bbecf738d5a2afd6de91a84aa4f0b03,YES,1,39,40,YES,PASSED
pair_math500_008,math500_008,OP_CONSTANT_PERTURB,fa5d778e065758747e3bc453e81faead53cc0c64f433ff27792ee7c84396e96c,80c837f15c6f55cab8e649dc369e60311bb406d9e82f89978b836c3dd46f2600,80c837f15c6f55cab8e649dc369e60311bb406d9e82f89978b836c3dd46f2600,YES,1,52,53,YES,PASSED
pair_math500_009,math500_009,OP_SIGN_FLIP,924e5f6001842f99567a47c9110471b4b1fef6f3582280b678bd6d0a6ab5fc02,aae148e5ae92d0c44ead84816f8d040155a8d85381da0e7a8bd4376a4f63a1d4,aae148e5ae92d0c44ead84816f8d040155a8d85381da0e7a8bd4376a4f63a1d4,YES,1,79,80,YES,PASSED
pair_math500_010,math500_010,OP_CONSTANT_PERTURB,3db397870a8abf65ca7d296186d65782f2a3b06d2b562ac406911fc788fa70ff,1dec71a868b8b90f702c5f527f3ff6c54f17b1da2a72a44f7afb5dfd40ab4a3e,1dec71a868b8b90f702c5f527f3ff6c54f17b1da2a72a44f7afb5dfd40ab4a3e,YES,1,43,44,YES,PASSED
pair_math500_011,math500_011,OP_SIGN_FLIP,2a561aa32fe5bbfe453eb7d2a9b541eae8953b99cfc88aa4c1b95e8178896f2a,5b41255125daa155c5be8e40cb846b73bb8feeca58128496299761e79fa24e26,5b41255125daa155c5be8e40cb846b73bb8feeca58128496299761e79fa24e26,YES,1,17,18,YES,PASSED
