pair_id,problem_id,problem_unchanged,prefix_unchanged,single_local_edit,reference_continuation_available,control_replacement_restores_path,downstream_information_preserved,structurally_recoverable,notes
pair_math500_001,math500_001,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_002,math500_002,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_003,math500_003,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_005,math500_005,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_006,math500_006,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_007,math500_007,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_008,math500_008,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_009,math500_009,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_010,math500_010,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_011,math500_011,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_012,math500_012,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_013,math500_013,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_014,math500_014,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_015,math500_015,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_016,math500_016,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_018,math500_018,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_019,math500_019,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_020,math500_020,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_021,math500_021,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_022,math500_022,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_023,math500_023,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_024,math500_024,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_025,math500_025,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_026,math500_026,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_027,math500_027,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_028,math500_028,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_029,math500_029,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_030,math500_030,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_032,math500_032,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_033,math500_033,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_034,math500_034,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_035,math500_035,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_036,math500_036,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_037,math500_037,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_038,math500_038,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
