math500_id,training_dataset,training_item_id,same_structure,diff_numerics,math500_structure_hash,target_structure_hash
math500_031,DeepScaleR,ds_24525,True,True,76a8ff3efa2c6bed89dffba22540735cf30225eab2cc66bb8d51f60b23e397d8,76a8ff3efa2c6bed89dffba22540735cf30225eab2cc66bb8d51f60b23e397d8
math500_054,DeepScaleR,ds_38629,True,True,c910efd3f8dc3538f8a4478e7dc285af04f99ef314b954d3b12d72def482dc53,c910efd3f8dc3538f8a4478e7dc285af04f99ef314b954d3b12d72def482dc53
math500_155,DeepScaleR,ds_34990,True,True,6d5134fc22a8c3425da70c217d7310fa01734b890e7c1c7a0a8c075bacef7733,6d5134fc22a8c3425da70c217d7310fa01734b890e7c1c7a0a8c075bacef7733
math500_183,DeepScaleR,ds_33804,True,True,3042d931eda5da3b08b2a9413a10a6408f5b7c9addb3cfdb5397c81145fe7df9,3042d931eda5da3b08b2a9413a10a6408f5b7c9addb3cfdb5397c81145fe7df9
math500_196,DeepScaleR,ds_33489,True,True,4b8761eaf667cd47a0a2eec876c16260221c0273ad340c12b86eb5d96cfbe707,4b8761eaf667cd47a0a2eec876c16260221c0273ad340c12b86eb5d96cfbe707
math500_226,DeepScaleR,ds_19501,True,True,c363520c7f4fc92e432467b5824d477b331848748c38afb2ff15a3ee9be197dc,c363520c7f4fc92e432467b5824d477b331848748c38afb2ff15a3ee9be197dc
math500_268,DeepScaleR,ds_38414,True,True,524af62a01f0ff903e893a0fac9a88d93268a0ed1fc18ca952c150e6d803260a,524af62a01f0ff903e893a0fac9a88d93268a0ed1fc18ca952c150e6d803260a
math500_336,DeepScaleR,ds_34137,True,True,bb6c8b9bcc6e5c024e71971a12ad3575542b1489ee718c46856d336db42d8f25,bb6c8b9bcc6e5c024e71971a12ad3575542b1489ee718c46856d336db42d8f25
math500_348,DeepScaleR,ds_19122,True,True,e619d54a1e56146423520183bd664ce739469806c0970e5152256ccb59eff4a3,e619d54a1e56146423520183bd664ce739469806c0970e5152256ccb59eff4a3
math500_424,DeepScaleR,ds_34146,True,True,f7a8d7c1c337f312969d52601e9f27cbff207132df48e3e57b0ceb03cc9e43a0,f7a8d7c1c337f312969d52601e9f27cbff207132df48e3e57b0ceb03cc9e43a0
math500_431,DeepScaleR,ds_39856,True,True,8754c6cb92fc6030c74fc62054c4760f117bf87ff03e3201d10aa53f5175d7f4,8754c6cb92fc6030c74fc62054c4760f117bf87ff03e3201d10aa53f5175d7f4
math500_446,DeepScaleR,ds_34346,True,True,a40acceeff116d54a90e886e7722f5ad3a661952ccaa9ce58cd6ed5a4a90e1dc,a40acceeff116d54a90e886e7722f5ad3a661952ccaa9ce58cd6ed5a4a90e1dc
