rollout_id,pair_id,state_type,checkpoint_t,rollout_k,target_transition_success,generated_token_count
pair_pair_math500_001_control_ckpt_000_r_01,pair_math500_001,control,0,1,1,512
pair_pair_math500_001_control_ckpt_000_r_02,pair_math500_001,control,0,2,1,512
pair_pair_math500_001_control_ckpt_000_r_03,pair_math500_001,control,0,3,0,512
pair_pair_math500_001_control_ckpt_000_r_04,pair_math500_001,control,0,4,0,512
pair_pair_math500_001_control_ckpt_000_r_05,pair_math500_001,control,0,5,1,437
pair_pair_math500_001_control_ckpt_000_r_06,pair_math500_001,control,0,6,0,449
pair_pair_math500_001_control_ckpt_000_r_07,pair_math500_001,control,0,7,0,508
pair_pair_math500_001_control_ckpt_000_r_08,pair_math500_001,control,0,8,0,496
pair_pair_math500_001_control_ckpt_000_r_09,pair_math500_001,control,0,9,0,495
pair_pair_math500_001_control_ckpt_000_r_10,pair_math500_001,control,0,10,0,483
pair_pair_math500_001_control_ckpt_000_r_11,pair_math500_001,control,0,11,0,512
pair_pair_math500_001_control_ckpt_000_r_12,pair_math500_001,control,0,12,0,512
pair_pair_math500_001_control_ckpt_000_r_13,pair_math500_001,control,0,13,0,427
pair_pair_math500_001_control_ckpt_000_r_14,pair_math500_001,control,0,14,0,510
pair_pair_math500_001_control_ckpt_000_r_15,pair_math500_001,control,0,15,0,512
pair_pair_math500_001_control_ckpt_000_r_16,pair_math500_001,control,0,16,0,512
pair_pair_math500_001_control_ckpt_256_r_01,pair_math500_001,control,256,1,0,512
pair_pair_math500_001_control_ckpt_256_r_02,pair_math500_001,control,256,2,0,512
pair_pair_math500_001_control_ckpt_256_r_03,pair_math500_001,control,256,3,1,508
pair_pair_math500_001_control_ckpt_256_r_04,pair_math500_001,control,256,4,0,512
pair_pair_math500_001_control_ckpt_256_r_05,pair_math500_001,control,256,5,1,512
pair_pair_math500_001_control_ckpt_256_r_06,pair_math500_001,control,256,6,1,512
pair_pair_math500_001_control_ckpt_256_r_07,pair_math500_001,control,256,7,0,512
pair_pair_math500_001_control_ckpt_256_r_08,pair_math500_001,control,256,8,0,496
pair_pair_math500_001_control_ckpt_256_r_09,pair_math500_001,control,256,9,1,512
pair_pair_math500_001_control_ckpt_256_r_10,pair_math500_001,control,256,10,1,473
pair_pair_math500_001_control_ckpt_256_r_11,pair_math500_001,control,256,11,0,512
pair_pair_math500_001_control_ckpt_256_r_12,pair_math500_001,control,256,12,0,502
pair_pair_math500_001_control_ckpt_256_r_13,pair_math500_001,control,256,13,1,512
pair_pair_math500_001_control_ckpt_256_r_14,pair_math500_001,control,256,14,0,512
pair_pair_math500_001_control_ckpt_256_r_15,pair_math500_001,control,256,15,0,463
pair_pair_math500_001_control_ckpt_256_r_16,pair_math500_001,control,256,16,0,499
pair_pair_math500_001_recovery_ckpt_000_r_01,pair_math500_001,recovery,0,1,0,466
pair_pair_math500_001_recovery_ckpt_000_r_02,pair_math500_001,recovery,0,2,0,477
pair_pair_math500_001_recovery_ckpt_000_r_03,pair_math500_001,recovery,0,3,0,507
pair_pair_math500_001_recovery_ckpt_000_r_04,pair_math500_001,recovery,0,4,0,466
pair_pair_math500_001_recovery_ckpt_000_r_05,pair_math500_001,recovery,0,5,0,512
pair_pair_math500_001_recovery_ckpt_000_r_06,pair_math500_001,recovery,0,6,0,479
pair_pair_math500_001_recovery_ckpt_000_r_07,pair_math500_001,recovery,0,7,0,461
pair_pair_math500_001_recovery_ckpt_000_r_08,pair_math500_001,recovery,0,8,1,441
pair_pair_math500_001_recovery_ckpt_000_r_09,pair_math500_001,recovery,0,9,1,481
pair_pair_math500_001_recovery_ckpt_000_r_10,pair_math500_001,recovery,0,10,0,419
pair_pair_math500_001_recovery_ckpt_000_r_11,pair_math500_001,recovery,0,11,1,491
pair_pair_math500_001_recovery_ckpt_000_r_12,pair_math500_001,recovery,0,12,1,442
pair_pair_math500_001_recovery_ckpt_000_r_13,pair_math500_001,recovery,0,13,0,511
pair_pair_math500_001_recovery_ckpt_000_r_14,pair_math500_001,recovery,0,14,1,459
pair_pair_math500_001_recovery_ckpt_000_r_15,pair_math500_001,recovery,0,15,0,463
pair_pair_math500_001_recovery_ckpt_000_r_16,pair_math500_001,recovery,0,16,0,487
pair_pair_math500_001_recovery_ckpt_256_r_01,pair_math500_001,recovery,256,1,1,506
pair_pair_math500_001_recovery_ckpt_256_r_02,pair_math500_001,recovery,256,2,1,431
