Metric,Value,Unit
Total_Confirmatory_Rollouts_Planned,29056,Rollouts
Valid_Confirmatory_Rollouts_Executed,29056,Rollouts
Failed_Confirmatory_Rollouts,0,Rollouts
Execution_Failure_Rate,0.00,Percent
Measured_vLLM_Throughput,1155.70,Tokens/sec
Total_Generated_Tokens,14876672,Tokens
Extrapolated_GPU_Hours,3.58,GPU-Hours
Base_Compute_Cost_USD,5.69,USD
20pct_Reserve_USD,1.13,USD
Total_Authorized_Budget_USD,6.82,USD
Actual_Compute_Cost_USD,5.69,USD
Remaining_RunPod_Account_Balance_USD,3.74,USD
Active_Paid_Pods_After_Completion,0,Pods
