K,scenario,se_gamma_t,ci_width_95,monotonicity_rate,reversal_rate,rollouts_intermediate,gpu_hours,cost_usd
16,A_strictly_increasing,0.0083,0.0325,0.7015,0.0105,101696,12.53,19.92
16,B_early_plateau,0.0083,0.0325,0.0877,0.1692,101696,12.53,19.92
16,C_late_emergence,0.0083,0.0325,0.3784,0.0511,101696,12.53,19.92
16,D_hump_shaped,0.0083,0.0325,0.0001,0.7911,101696,12.53,19.92
16,E_increase_then_decline,0.0083,0.0325,0.0,0.9984,101696,12.53,19.92
16,F_local_max,0.0083,0.0325,0.0028,0.8201,101696,12.53,19.92
16,G_local_min,0.0083,0.0325,0.0352,0.3927,101696,12.53,19.92
16,H_two_stage,0.0083,0.0325,0.2176,0.1004,101696,12.53,19.92
16,I_flat_null,0.0083,0.0325,0.0067,0.2884,101696,12.53,19.92
16,J_noisy_monotonic,0.0083,0.0325,0.6884,0.012,101696,12.53,19.92
24,A_strictly_increasing,0.0068,0.0266,0.8707,0.0019,152544,18.8,29.88
24,B_early_plateau,0.0068,0.0266,0.1412,0.0715,152544,18.8,29.88
24,C_late_emergence,0.0068,0.0266,0.5239,0.0138,152544,18.8,29.88
24,D_hump_shaped,0.0068,0.0266,0.0,0.7406,152544,18.8,29.88
24,E_increase_then_decline,0.0068,0.0266,0.0,0.9989,152544,18.8,29.88
24,F_local_max,0.0068,0.0266,0.0012,0.859,152544,18.8,29.88
24,G_local_min,0.0068,0.0266,0.0292,0.2966,152544,18.8,29.88
24,H_two_stage,0.0068,0.0266,0.3308,0.0345,152544,18.8,29.88
24,I_flat_null,0.0068,0.0266,0.0175,0.1187,152544,18.8,29.88
24,J_noisy_monotonic,0.0068,0.0266,0.851,0.0008,152544,18.8,29.88
32,A_strictly_increasing,0.0059,0.023,0.939,0.0001,203392,25.06,39.85
32,B_early_plateau,0.0059,0.023,0.199,0.0286,203392,25.06,39.85
32,C_late_emergence,0.0059,0.023,0.6314,0.0035,203392,25.06,39.85
32,D_hump_shaped,0.0059,0.023,0.0,0.6806,203392,25.06,39.85
32,E_increase_then_decline,0.0059,0.023,0.0,0.9985,203392,25.06,39.85
32,F_local_max,0.0059,0.023,0.0004,0.8846,203392,25.06,39.85
32,G_local_min,0.0059,0.023,0.0219,0.2319,203392,25.06,39.85
32,H_two_stage,0.0059,0.023,0.4327,0.0125,203392,25.06,39.85
32,I_flat_null,0.0059,0.023,0.0343,0.0559,203392,25.06,39.85
32,J_noisy_monotonic,0.0059,0.023,0.9276,0.0001,203392,25.06,39.85
48,A_strictly_increasing,0.0048,0.0188,0.9918,0.0,305088,37.59,59.77
48,B_early_plateau,0.0048,0.0188,0.3048,0.0046,305088,37.59,59.77
48,C_late_emergence,0.0048,0.0188,0.778,0.0004,305088,37.59,59.77
48,D_hump_shaped,0.0048,0.0188,0.0,0.6158,305088,37.59,59.77
48,E_increase_then_decline,0.0048,0.0188,0.0,0.9987,305088,37.59,59.77
48,F_local_max,0.0048,0.0188,0.0,0.9284,305088,37.59,59.77
48,G_local_min,0.0048,0.0188,0.0133,0.1411,305088,37.59,59.77
48,H_two_stage,0.0048,0.0188,0.5852,0.0011,305088,37.59,59.77
48,I_flat_null,0.0048,0.0188,0.0704,0.0081,305088,37.59,59.77
48,J_noisy_monotonic,0.0048,0.0188,0.9838,0.0,305088,37.59,59.77
64,A_strictly_increasing,0.0041,0.0163,0.997,0.0,406784,50.12,79.69
64,B_early_plateau,0.0041,0.0163,0.3959,0.0012,406784,50.12,79.69
64,C_late_emergence,0.0041,0.0163,0.8582,0.0002,406784,50.12,79.69
64,D_hump_shaped,0.0041,0.0163,0.0,0.583,406784,50.12,79.69
64,E_increase_then_decline,0.0041,0.0163,0.0,0.9985,406784,50.12,79.69
64,F_local_max,0.0041,0.0163,0.0,0.9524,406784,50.12,79.69
64,G_local_min,0.0041,0.0163,0.0073,0.0857,406784,50.12,79.69
64,H_two_stage,0.0041,0.0163,0.6885,0.0002,406784,50.12,79.69
64,I_flat_null,0.0041,0.0163,0.1264,0.0026,406784,50.12,79.69
64,J_noisy_monotonic,0.0041,0.0163,0.9961,0.0,406784,50.12,79.69
