design_name,checkpoints,num_checkpoints,N,K_allocation,total_new_rollouts,gpu_hours,estimated_cost_usd,se_gamma_t,power_gamma_pos,target_type,budget_feasibility
Design_A1_Sparse3_K2,"[64, 128, 192]",3,454,K=2,5448,3.89,1.71,0.0265,0.854,TARGET_A,HIGH
Design_A2_Sparse3_K4,"[64, 128, 192]",3,454,K=4,10896,7.78,3.42,0.0188,0.989,TARGET_A,EXCEEDS_BUDGET
Design_A3_Sparse3_K6,"[64, 128, 192]",3,454,K=6,16344,11.67,5.14,0.0153,0.999,TARGET_A,EXCEEDS_BUDGET
Design_B1_Sparse4_K4,"[32, 96, 160, 224]",4,454,K=4,14528,10.38,4.57,0.0188,0.989,TARGET_B,EXCEEDS_BUDGET
Design_B2_Sparse4_K6,"[32, 96, 160, 224]",4,454,K=6,21792,15.57,6.85,0.0153,0.999,TARGET_B,EXCEEDS_BUDGET
Design_B3_Unequal4_K4_8,"[32, 96, 160, 224]",4,454,"K_array=[4, 8, 8, 4]",21792,15.57,6.85,0.0153,0.999,TARGET_B,EXCEEDS_BUDGET
Design_C1_Dense7_K4,"[32, 64, 96, 128, 160, 192, 224]",7,454,K=4,25424,18.16,7.99,0.0188,0.989,TARGET_C,EXCEEDS_BUDGET
Design_C2_Dense7_K8,"[32, 64, 96, 128, 160, 192, 224]",7,454,K=8,50848,36.32,15.98,0.0133,0.999,TARGET_C,EXCEEDS_BUDGET
Design_C3_Dense7_K16,"[32, 64, 96, 128, 160, 192, 224]",7,454,K=16,101696,72.64,31.96,0.0094,0.999,TARGET_C,EXCEEDS_BUDGET
Design_D1_Dense7_K24,"[32, 64, 96, 128, 160, 192, 224]",7,454,K=24,152544,108.96,47.94,0.0077,0.999,TARGET_D,EXCEEDS_BUDGET
