metric_name,paper_value,authoritative_source,audit_status
primary_sample_size,N = 454,01_SCIENTIFIC_CONTRIBUTION_RECONSTRUCTION.md,VERIFIED
strict_sample_size,N = 388,01_SCIENTIFIC_CONTRIBUTION_RECONSTRUCTION.md,VERIFIED
primary_rollouts,29056,01_SCIENTIFIC_CONTRIBUTION_RECONSTRUCTION.md,VERIFIED
gamma_256,+0.1176,01_SCIENTIFIC_CONTRIBUTION_RECONSTRUCTION.md,VERIFIED
gamma_256_ci,"[+0.0955, +0.1400]",01_SCIENTIFIC_CONTRIBUTION_RECONSTRUCTION.md,VERIFIED
strict_gamma_256,+0.1160,01_SCIENTIFIC_CONTRIBUTION_RECONSTRUCTION.md,VERIFIED
strict_gamma_256_ci,"[+0.0913, +0.1408]",01_SCIENTIFIC_CONTRIBUTION_RECONSTRUCTION.md,VERIFIED
gamma_0,0.0000,07_FULL_NINE_POINT_TRAJECTORY.csv,VERIFIED
gamma_32,+0.0333,07_FULL_NINE_POINT_TRAJECTORY.csv,VERIFIED
gamma_64,+0.0337,07_FULL_NINE_POINT_TRAJECTORY.csv,VERIFIED
gamma_96,+0.0774,07_FULL_NINE_POINT_TRAJECTORY.csv,VERIFIED
gamma_128,+0.0748,07_FULL_NINE_POINT_TRAJECTORY.csv,VERIFIED
gamma_160,+0.0598,07_FULL_NINE_POINT_TRAJECTORY.csv,VERIFIED
gamma_192,+0.0976,07_FULL_NINE_POINT_TRAJECTORY.csv,VERIFIED
gamma_224,+0.0950,07_FULL_NINE_POINT_TRAJECTORY.csv,VERIFIED
natural_error_incidence,18.19%,21_PILOT_PUBLICATION_NUMBERS_LOCK.json,VERIFIED
natural_recovery_rate,30.93%,21_PILOT_PUBLICATION_NUMBERS_LOCK.json,VERIFIED
nrr_blocked_ci,"[27.19%, 34.82%]",21_PILOT_PUBLICATION_NUMBERS_LOCK.json,VERIFIED
