sample_size_N,rollout_depth_K,total_rollouts,effect_size_gamma_spec,power,ci_half_width,se
200,2,400,0.01,0.062,0.0959,0.0489
200,2,400,0.02,0.111,0.0958,0.0489
200,2,400,0.03,0.166,0.0957,0.0488
200,2,400,0.05,0.28,0.0954,0.0487
200,2,400,0.08,0.508,0.095,0.0485
200,4,800,0.01,0.099,0.0678,0.0346
200,4,800,0.02,0.135,0.0677,0.0346
200,4,800,0.03,0.204,0.0677,0.0345
200,4,800,0.05,0.427,0.0675,0.0344
200,4,800,0.08,0.743,0.0672,0.0343
200,8,1600,0.01,0.123,0.0479,0.0245
200,8,1600,0.02,0.209,0.0479,0.0244
200,8,1600,0.03,0.332,0.0478,0.0244
200,8,1600,0.05,0.643,0.0477,0.0243
200,8,1600,0.08,0.956,0.0475,0.0242
200,16,3200,0.01,0.153,0.0339,0.0173
200,16,3200,0.02,0.308,0.0339,0.0173
200,16,3200,0.03,0.55,0.0338,0.0173
200,16,3200,0.05,0.906,0.0337,0.0172
200,16,3200,0.08,1.0,0.0336,0.0171
300,2,600,0.01,0.094,0.0783,0.0399
300,2,600,0.02,0.109,0.0782,0.0399
300,2,600,0.03,0.189,0.0781,0.0399
300,2,600,0.05,0.33,0.0779,0.0398
300,2,600,0.08,0.637,0.0776,0.0396
300,4,1200,0.01,0.099,0.0554,0.0282
300,4,1200,0.02,0.172,0.0553,0.0282
300,4,1200,0.03,0.318,0.0552,0.0282
300,4,1200,0.05,0.546,0.0551,0.0281
300,4,1200,0.08,0.873,0.0549,0.028
300,8,2400,0.01,0.13,0.0391,0.02
300,8,2400,0.02,0.258,0.0391,0.02
300,8,2400,0.03,0.445,0.0391,0.0199
300,8,2400,0.05,0.804,0.039,0.0199
300,8,2400,0.08,0.99,0.0388,0.0198
300,16,4800,0.01,0.173,0.0277,0.0141
300,16,4800,0.02,0.399,0.0277,0.0141
300,16,4800,0.03,0.688,0.0276,0.0141
300,16,4800,0.05,0.975,0.0276,0.0141
300,16,4800,0.08,1.0,0.0274,0.014
454,2,908,0.01,0.088,0.0636,0.0325
454,2,908,0.02,0.135,0.0636,0.0324
454,2,908,0.03,0.217,0.0635,0.0324
454,2,908,0.05,0.422,0.0633,0.0323
454,2,908,0.08,0.776,0.0631,0.0322
454,4,1816,0.01,0.104,0.045,0.023
454,4,1816,0.02,0.203,0.045,0.0229
454,4,1816,0.03,0.357,0.0449,0.0229
454,4,1816,0.05,0.71,0.0448,0.0229
454,4,1816,0.08,0.965,0.0446,0.0227
454,8,3632,0.01,0.144,0.0318,0.0162
454,8,3632,0.02,0.339,0.0318,0.0162
454,8,3632,0.03,0.579,0.0318,0.0162
454,8,3632,0.05,0.922,0.0317,0.0162
454,8,3632,0.08,1.0,0.0315,0.0161
454,16,7264,0.01,0.234,0.0225,0.0115
454,16,7264,0.02,0.528,0.0225,0.0115
454,16,7264,0.03,0.823,0.0225,0.0115
454,16,7264,0.05,0.998,0.0224,0.0114
454,16,7264,0.08,1.0,0.0223,0.0114
