source_dataset,source_revision,source_split,source_item_id,source_problem_sha256,source_solution_sha256,license_dataset,license_repo,domain
GSM8K,git_commit_e4b85c1,train,gsm8k_train_0000,73429d562982300e6643d83a84428a22e0656773b67dad037d2de2f8bc0b45b9,e030836f6b36656205cb6be7efe8d90cb782b128eca32c93085b3398c31afdf1,MIT,MIT,mathematical_reasoning
GSM8K,git_commit_e4b85c1,train,gsm8k_train_0001,1908ef051d448253fb039552e6d52d72d2af7e7d70915d6bff5d45acaf94431f,b98ee6caa9b96942f535a492f1fc5c22a1d488582544d136fc34dd1d1eb95aaf,MIT,MIT,mathematical_reasoning
GSM8K,git_commit_e4b85c1,train,gsm8k_train_0002,2e341911002d4cfbcb9a83dd61ceced48c3d2325eca7240bbb6f7cae9aec4e6c,567e1139f74e6c78bbaabdcde7b35486533abc94645f24768b8dab78ccd1a743,MIT,MIT,mathematical_reasoning
GSM8K,git_commit_e4b85c1,train,gsm8k_train_0003,0879d3cd2a0476109141ddfe4bff4872c82dbbc4317f7556e78706ddb873c647,e9504d1d32527a0c0854a3ecf70aecb8ced18d3ec09dcdf83258cd634a89adc2,MIT,MIT,mathematical_reasoning
GSM8K,git_commit_e4b85c1,train,gsm8k_train_0004,73b6a1030c2b8b31ca4da698367d8d9c2ded42d8f8681d64b58cd3caf67a170c,ea3319def638347bbd8c8011e660172f7e4405bb9b08858356994659fa501889,MIT,MIT,mathematical_reasoning
GSM8K,git_commit_e4b85c1,train,gsm8k_train_0005,793df4d51433a6bf935437c1472bdd4fa2cf790a951031e43bcd802327df257f,6c4bf39a7019ab2d0e2f4feb9827da5c04d58bcf17932d7b22b2b1769373f6e9,MIT,MIT,mathematical_reasoning
GSM8K,git_commit_e4b85c1,train,gsm8k_train_0006,d92bf185ebcb5414594f965ceea6ac70870eb26f78b7bbad02152e8ccf0e8861,b1a3908809ed95bc382da8120a0df0667bb44225c3fbb8ab6c00f004495fa271,MIT,MIT,mathematical_reasoning
GSM8K,git_commit_e4b85c1,train,gsm8k_train_0007,79ee19ceeb9cd7250016962070a0185a8a385251878b49d6bfb91439e589ab49,1b7cbf55a03066d4c70238d5479e8fe97dfa40a40bca3476cb7325686110dc4d,MIT,MIT,mathematical_reasoning
GSM8K,git_commit_e4b85c1,train,gsm8k_train_0008,7f3e8bf945980fb7bf5bdca3f1cad619339ccd06f03b62893652381054b2bd49,68501b2124b22d5e0ae4e9e6f52e1cff65b3bd81563eb36beeda70a1be5a8150,MIT,MIT,mathematical_reasoning
GSM8K,git_commit_e4b85c1,train,gsm8k_train_0009,962cac83c240ea8188c259ac0321176df5d4a3db86500a4904ad64df29b8cd04,32a2463044a0ec130b4d8bfec22b30cfba8f83193b99dfa2971bac4433c4d2b7,MIT,MIT,mathematical_reasoning
