model,held_out_family,feature_name,standardized_coefficient
M0_B,Pythia,pass_at_1,0.0010472814499233251
M0_B,Pythia,pass_at_8,0.0031862089159567877
M0_B,Pythia,pass_at_64,0.0022665815890197754
M0_B,Pythia,prompt_nll,0.0031457270713620648
M0_B,Pythia,heldout_loss,0.002490967439703161
M0_B,Pythia,sampled_coverage,0.003186208915956785
M0_B,Pythia,token_entropy,-0.0010472814499233151
M0_B,Qwen,pass_at_1,0.003158427491643388
M0_B,Qwen,pass_at_8,-0.0005616259891726816
M0_B,Qwen,pass_at_64,0.000590907894960656
M0_B,Qwen,prompt_nll,-0.0061198799005902655
M0_B,Qwen,heldout_loss,0.003973976701346666
M0_B,Qwen,sampled_coverage,-0.0005616259891726763
M0_B,Qwen,token_entropy,-0.0031584274916434062
M0_B,SmolLM2,pass_at_1,0.0015531114314197422
M0_B,SmolLM2,pass_at_8,0.0007277784758864819
M0_B,SmolLM2,pass_at_64,-0.0038397907303077392
M0_B,SmolLM2,prompt_nll,-0.0012649072413633603
M0_B,SmolLM2,heldout_loss,-0.0029506180939175733
M0_B,SmolLM2,sampled_coverage,0.0007277784758864737
M0_B,SmolLM2,token_entropy,-0.0015531114314197517
M1_BH,Pythia,pass_at_1,0.0010915449448900352
M1_BH,Pythia,pass_at_8,0.003053809737537265
M1_BH,Pythia,pass_at_64,0.0023048804957335194
M1_BH,Pythia,prompt_nll,0.0033350847287063516
M1_BH,Pythia,heldout_loss,0.0020159944177099414
M1_BH,Pythia,sampled_coverage,0.003053809737537264
M1_BH,Pythia,token_entropy,-0.0010915449448900408
M1_BH,Pythia,base_error_pass1,-0.001091544944890035
M1_BH,Pythia,failure_rate_pass64,-0.002304880495733518
M1_BH,Pythia,ckpt_step_num,-0.0005531296790125936
M1_BH,Pythia,mean_abs_comp_dist,0.0037976867268964282
M1_BH,Pythia,frac_in_comp_band,0.0
M1_BH,Qwen,pass_at_1,0.0024706469129141683
M1_BH,Qwen,pass_at_8,-2.70379048145145e-05
M1_BH,Qwen,pass_at_64,0.0002001433736562865
M1_BH,Qwen,prompt_nll,-0.0045692748641817426
M1_BH,Qwen,heldout_loss,0.0051505157765667645
M1_BH,Qwen,sampled_coverage,-2.703790481451746e-05
M1_BH,Qwen,token_entropy,-0.0024706469129141878
M1_BH,Qwen,base_error_pass1,-0.0024706469129141657
M1_BH,Qwen,failure_rate_pass64,-0.00020014337365628702
M1_BH,Qwen,ckpt_step_num,-0.002941567310438844
M1_BH,Qwen,mean_abs_comp_dist,-0.0017185016267170046
M1_BH,Qwen,frac_in_comp_band,0.0
M1_BH,SmolLM2,pass_at_1,0.0015456543301870832
M1_BH,SmolLM2,pass_at_8,0.0019071348660841942
M1_BH,SmolLM2,pass_at_64,-0.0017463154800873015
M1_BH,SmolLM2,prompt_nll,0.0015357057150175864
M1_BH,SmolLM2,heldout_loss,-0.001870278703470216
M1_BH,SmolLM2,sampled_coverage,0.0019071348660841968
M1_BH,SmolLM2,token_entropy,-0.0015456543301870715
M1_BH,SmolLM2,base_error_pass1,-0.0015456543301870839
M1_BH,SmolLM2,failure_rate_pass64,0.0017463154800872952
M1_BH,SmolLM2,ckpt_step_num,-0.005231432408153101
M1_BH,SmolLM2,mean_abs_comp_dist,-0.0014880419043309407
M1_BH,SmolLM2,frac_in_comp_band,0.0
M2_BH_Probe,Pythia,pass_at_1,0.00069367145350994
M2_BH_Probe,Pythia,pass_at_8,0.002479247999665205
M2_BH_Probe,Pythia,pass_at_64,0.0022044230480155707
M2_BH_Probe,Pythia,prompt_nll,0.003268599433709076
M2_BH_Probe,Pythia,heldout_loss,0.0017553929867155098
M2_BH_Probe,Pythia,sampled_coverage,0.0024792479996652043
M2_BH_Probe,Pythia,token_entropy,-0.0006936714535099429
M2_BH_Probe,Pythia,base_error_pass1,-0.0006936714535099362
M2_BH_Probe,Pythia,failure_rate_pass64,-0.002204423048015569
M2_BH_Probe,Pythia,ckpt_step_num,-0.0005776400807364779
M2_BH_Probe,Pythia,mean_abs_comp_dist,0.004900081243499964
M2_BH_Probe,Pythia,frac_in_comp_band,0.0
M2_BH_Probe,Pythia,probe_auroc,0.0035944885540421722
M2_BH_Probe,Qwen,pass_at_1,0.0024166371967290962
M2_BH_Probe,Qwen,pass_at_8,5.4029822944009576e-05
M2_BH_Probe,Qwen,pass_at_64,-0.00034069543081622874
M2_BH_Probe,Qwen,prompt_nll,-0.004349323707082806
M2_BH_Probe,Qwen,heldout_loss,0.005203017346029919
M2_BH_Probe,Qwen,sampled_coverage,5.40298229440059e-05
M2_BH_Probe,Qwen,token_entropy,-0.0024166371967291153
M2_BH_Probe,Qwen,base_error_pass1,-0.0024166371967290936
M2_BH_Probe,Qwen,failure_rate_pass64,0.0003406954308162281
M2_BH_Probe,Qwen,ckpt_step_num,-0.002695166524325046
M2_BH_Probe,Qwen,mean_abs_comp_dist,-0.001861182943214812
M2_BH_Probe,Qwen,frac_in_comp_band,0.0
M2_BH_Probe,Qwen,probe_auroc,0.0014522941757353146
M2_BH_Probe,SmolLM2,pass_at_1,0.0018749106750678244
M2_BH_Probe,SmolLM2,pass_at_8,0.0010843630393878824
M2_BH_Probe,SmolLM2,pass_at_64,-0.0010652689928415042
M2_BH_Probe,SmolLM2,prompt_nll,8.928297793845041e-05
M2_BH_Probe,SmolLM2,heldout_loss,-0.0019061119884176342
M2_BH_Probe,SmolLM2,sampled_coverage,0.001084363039387887
M2_BH_Probe,SmolLM2,token_entropy,-0.001874910675067815
M2_BH_Probe,SmolLM2,base_error_pass1,-0.001874910675067824
M2_BH_Probe,SmolLM2,failure_rate_pass64,0.0010652689928415003
M2_BH_Probe,SmolLM2,ckpt_step_num,-0.005710253138287748
M2_BH_Probe,SmolLM2,mean_abs_comp_dist,-0.001972450195094382
M2_BH_Probe,SmolLM2,frac_in_comp_band,0.0
M2_BH_Probe,SmolLM2,probe_auroc,-0.003103516871974513
M3_BH_Geom,Pythia,pass_at_1,0.0017650702727751975
M3_BH_Geom,Pythia,pass_at_8,0.002947550630448643
M3_BH_Geom,Pythia,pass_at_64,0.0017600441750528222
M3_BH_Geom,Pythia,prompt_nll,0.0004375262589732008
M3_BH_Geom,Pythia,heldout_loss,0.001499114493951873
M3_BH_Geom,Pythia,sampled_coverage,0.00294755063044864
M3_BH_Geom,Pythia,token_entropy,-0.0017650702727752027
M3_BH_Geom,Pythia,base_error_pass1,-0.0017650702727751934
M3_BH_Geom,Pythia,failure_rate_pass64,-0.0017600441750528202
M3_BH_Geom,Pythia,ckpt_step_num,-0.0006026967821713314
M3_BH_Geom,Pythia,mean_abs_comp_dist,0.004466104400223926
M3_BH_Geom,Pythia,frac_in_comp_band,0.0
M3_BH_Geom,Pythia,erank,-0.0009076103315881644
M3_BH_Geom,Pythia,srank,0.0049625380632728104
M3_BH_Geom,Qwen,pass_at_1,0.0033973920639858864
M3_BH_Geom,Qwen,pass_at_8,0.0008236048868383462
M3_BH_Geom,Qwen,pass_at_64,-0.0006953230592930533
M3_BH_Geom,Qwen,prompt_nll,-0.006592963493060596
M3_BH_Geom,Qwen,heldout_loss,0.0035833665838216123
M3_BH_Geom,Qwen,sampled_coverage,0.0008236048868383436
M3_BH_Geom,Qwen,token_entropy,-0.003397392063985903
M3_BH_Geom,Qwen,base_error_pass1,-0.0033973920639858816
M3_BH_Geom,Qwen,failure_rate_pass64,0.0006953230592930517
M3_BH_Geom,Qwen,ckpt_step_num,-0.002311002614630406
M3_BH_Geom,Qwen,mean_abs_comp_dist,2.9266360775158026e-05
M3_BH_Geom,Qwen,frac_in_comp_band,0.0
M3_BH_Geom,Qwen,erank,0.0008724941785902868
M3_BH_Geom,Qwen,srank,0.004961104871380521
M3_BH_Geom,SmolLM2,pass_at_1,0.00202181338308091
M3_BH_Geom,SmolLM2,pass_at_8,0.0023059310606830747
M3_BH_Geom,SmolLM2,pass_at_64,-0.00114464191101526
M3_BH_Geom,SmolLM2,prompt_nll,-0.00012929425140583732
M3_BH_Geom,SmolLM2,heldout_loss,-0.0012976820492620026
M3_BH_Geom,SmolLM2,sampled_coverage,0.0023059310606830764
M3_BH_Geom,SmolLM2,token_entropy,-0.0020218133830808985
M3_BH_Geom,SmolLM2,base_error_pass1,-0.0020218133830809085
M3_BH_Geom,SmolLM2,failure_rate_pass64,0.0011446419110152548
M3_BH_Geom,SmolLM2,ckpt_step_num,-0.005572897413319411
M3_BH_Geom,SmolLM2,mean_abs_comp_dist,-0.0005932681015430371
M3_BH_Geom,SmolLM2,frac_in_comp_band,0.0
M3_BH_Geom,SmolLM2,erank,-0.0013216642100495528
M3_BH_Geom,SmolLM2,srank,0.0051550367595857485
M4_BH_Grad,Pythia,pass_at_1,3.71233063189263e-05
M4_BH_Grad,Pythia,pass_at_8,0.0019785168048771793
M4_BH_Grad,Pythia,pass_at_64,0.0013525351936808053
M4_BH_Grad,Pythia,prompt_nll,0.0023021348820525815
M4_BH_Grad,Pythia,heldout_loss,0.0008745103987844276
M4_BH_Grad,Pythia,sampled_coverage,0.0019785168048771806
M4_BH_Grad,Pythia,token_entropy,-3.7123306318922305e-05
M4_BH_Grad,Pythia,base_error_pass1,-3.7123306318926235e-05
M4_BH_Grad,Pythia,failure_rate_pass64,-0.0013525351936808038
M4_BH_Grad,Pythia,ckpt_step_num,3.742471721392229e-06
M4_BH_Grad,Pythia,mean_abs_comp_dist,0.003954478627421295
M4_BH_Grad,Pythia,frac_in_comp_band,0.0
M4_BH_Grad,Pythia,grad_norm,-0.009777380406088962
M4_BH_Grad,Pythia,gns_proxy,0.0014756784928625455
M4_BH_Grad,Pythia,ln_ratio,0.0028580034851375174
M4_BH_Grad,Qwen,pass_at_1,0.0008597920635489691
M4_BH_Grad,Qwen,pass_at_8,0.0007276953552845796
M4_BH_Grad,Qwen,pass_at_64,-0.0012839597258318663
M4_BH_Grad,Qwen,prompt_nll,-0.0029533486189842906
M4_BH_Grad,Qwen,heldout_loss,0.0039063841437225865
M4_BH_Grad,Qwen,sampled_coverage,0.0007276953552845793
M4_BH_Grad,Qwen,token_entropy,-0.0008597920635489726
M4_BH_Grad,Qwen,base_error_pass1,-0.0008597920635489665
M4_BH_Grad,Qwen,failure_rate_pass64,0.0012839597258318656
M4_BH_Grad,Qwen,ckpt_step_num,-0.004920550668970614
M4_BH_Grad,Qwen,mean_abs_comp_dist,-0.001703418460329371
M4_BH_Grad,Qwen,frac_in_comp_band,0.0
M4_BH_Grad,Qwen,grad_norm,-0.010896390804966192
M4_BH_Grad,Qwen,gns_proxy,-0.001118244297441643
M4_BH_Grad,Qwen,ln_ratio,0.002902228415909462
M4_BH_Grad,SmolLM2,pass_at_1,0.0016337914461265945
M4_BH_Grad,SmolLM2,pass_at_8,0.0018520122607235336
M4_BH_Grad,SmolLM2,pass_at_64,-0.0018917164810484113
M4_BH_Grad,SmolLM2,prompt_nll,0.00034389906565667703
M4_BH_Grad,SmolLM2,heldout_loss,-0.000912555031676961
M4_BH_Grad,SmolLM2,sampled_coverage,0.001852012260723536
M4_BH_Grad,SmolLM2,token_entropy,-0.0016337914461265824
M4_BH_Grad,SmolLM2,base_error_pass1,-0.0016337914461265932
M4_BH_Grad,SmolLM2,failure_rate_pass64,0.0018917164810484087
M4_BH_Grad,SmolLM2,ckpt_step_num,-0.006388184734071391
M4_BH_Grad,SmolLM2,mean_abs_comp_dist,-0.002386195098764257
M4_BH_Grad,SmolLM2,frac_in_comp_band,0.0
M4_BH_Grad,SmolLM2,grad_norm,0.000605020198337234
M4_BH_Grad,SmolLM2,gns_proxy,0.0029143479744774448
M4_BH_Grad,SmolLM2,ln_ratio,-0.002224653757023492
M5_BH_All,Pythia,pass_at_1,0.0004904080926945922
M5_BH_All,Pythia,pass_at_8,0.001907435928996607
M5_BH_All,Pythia,pass_at_64,0.0012912102196706507
M5_BH_All,Pythia,prompt_nll,0.0008238157091655189
M5_BH_All,Pythia,heldout_loss,9.878972387386035e-05
M5_BH_All,Pythia,sampled_coverage,0.001907435928996608
M5_BH_All,Pythia,token_entropy,-0.0004904080926945896
M5_BH_All,Pythia,base_error_pass1,-0.0004904080926945921
M5_BH_All,Pythia,failure_rate_pass64,-0.001291210219670649
M5_BH_All,Pythia,ckpt_step_num,0.00037742999507716133
M5_BH_All,Pythia,mean_abs_comp_dist,0.004287694173645619
M5_BH_All,Pythia,frac_in_comp_band,0.0
M5_BH_All,Pythia,probe_auroc,0.0011313299171473977
M5_BH_All,Pythia,erank,0.0006192266443621695
M5_BH_All,Pythia,srank,0.0035253936222405745
M5_BH_All,Pythia,grad_norm,-0.008929234562965113
M5_BH_All,Pythia,gns_proxy,0.0008035985115231836
M5_BH_All,Pythia,ln_ratio,0.003192665960001363
M5_BH_All,Qwen,pass_at_1,0.001393247523054592
M5_BH_All,Qwen,pass_at_8,0.001247457915460634
M5_BH_All,Qwen,pass_at_64,-0.0008425192573691241
M5_BH_All,Qwen,prompt_nll,-0.0035607175897804416
M5_BH_All,Qwen,heldout_loss,0.0030911198623091514
M5_BH_All,Qwen,sampled_coverage,0.0012474579154606355
M5_BH_All,Qwen,token_entropy,-0.0013932475230545938
M5_BH_All,Qwen,base_error_pass1,-0.0013932475230545895
M5_BH_All,Qwen,failure_rate_pass64,0.0008425192573691235
M5_BH_All,Qwen,ckpt_step_num,-0.004613768197454811
M5_BH_All,Qwen,mean_abs_comp_dist,-0.0013383796390907506
M5_BH_All,Qwen,frac_in_comp_band,0.0
M5_BH_All,Qwen,probe_auroc,-0.0023915869974962104
M5_BH_All,Qwen,erank,0.0014189550545856593
M5_BH_All,Qwen,srank,0.0033302957463189732
M5_BH_All,Qwen,grad_norm,-0.00995655451585994
M5_BH_All,Qwen,gns_proxy,-0.0033400751723635857
M5_BH_All,Qwen,ln_ratio,0.0023985845835470068
M5_BH_All,SmolLM2,pass_at_1,0.0019499124308122713
