model,feature_name,feature_block,non_null_count,mean,std,min,max,unique_values,included_in_fold,standardized,coefficient
M0_B,pass_at_1,B,12,0.20907148762026737,0.1440818539816849,0.02,0.4858206389408609,11,LOMFO_STRICT,StandardScaler_In_Fold,0.0
M0_B,pass_at_8,B,12,0.35067933717436434,0.15240622741042598,0.13173439510684404,0.6176328898449661,12,LOMFO_STRICT,StandardScaler_In_Fold,0.0
M0_B,pass_at_64,B,12,0.5182238528515539,0.16059929647095506,0.2772360384565834,0.8256887760636881,12,LOMFO_STRICT,StandardScaler_In_Fold,0.0
M0_B,prompt_nll,B,12,2.1277948582181883,0.2615895816278515,1.5554302967668363,2.4358856235379513,12,LOMFO_STRICT,StandardScaler_In_Fold,0.0
M0_B,heldout_loss,B,12,1.8531197754364592,0.23525471000927578,1.4520298323846361,2.20862629111971,12,LOMFO_STRICT,StandardScaler_In_Fold,0.0
M0_B,sampled_coverage,B,12,0.3156114034569279,0.13716560466938338,0.11856095559615963,0.5558696008604695,12,LOMFO_STRICT,StandardScaler_In_Fold,0.0
M0_B,token_entropy,B,12,1.6327428099037862,0.11526548318534793,1.4113434888473113,1.784,11,LOMFO_STRICT,StandardScaler_In_Fold,0.0
M1_BH,pass_at_1,B,12,0.20907148762026737,0.1440818539816849,0.02,0.4858206389408609,11,LOMFO_STRICT,StandardScaler_In_Fold,0.0
M1_BH,pass_at_8,B,12,0.35067933717436434,0.15240622741042598,0.13173439510684404,0.6176328898449661,12,LOMFO_STRICT,StandardScaler_In_Fold,0.0
M1_BH,pass_at_64,B,12,0.5182238528515539,0.16059929647095506,0.2772360384565834,0.8256887760636881,12,LOMFO_STRICT,StandardScaler_In_Fold,0.0
M1_BH,prompt_nll,B,12,2.1277948582181883,0.2615895816278515,1.5554302967668363,2.4358856235379513,12,LOMFO_STRICT,StandardScaler_In_Fold,0.0
M1_BH,heldout_loss,B,12,1.8531197754364592,0.23525471000927578,1.4520298323846361,2.20862629111971,12,LOMFO_STRICT,StandardScaler_In_Fold,0.0
M1_BH,sampled_coverage,B,12,0.3156114034569279,0.13716560466938338,0.11856095559615963,0.5558696008604695,12,LOMFO_STRICT,StandardScaler_In_Fold,0.0
M1_BH,token_entropy,B,12,1.6327428099037862,0.11526548318534793,1.4113434888473113,1.784,11,LOMFO_STRICT,StandardScaler_In_Fold,0.0
M1_BH,base_error_pass1,H,12,0.7909285123797325,0.1440818539816849,0.5141793610591391,0.98,11,LOMFO_STRICT,StandardScaler_In_Fold,0.0
M1_BH,failure_rate_pass64,H,12,0.48177614714844613,0.16059929647095508,0.17431122393631193,0.7227639615434166,12,LOMFO_STRICT,StandardScaler_In_Fold,0.0
M1_BH,ckpt_step_num,H,12,89.33333333333333,41.863534914714926,50.0,143.0,3,LOMFO_STRICT,StandardScaler_In_Fold,0.0
